"volume","sizeindex","species","xleft","ybottom","xright","ytop"
"100",62.113725,"gleditsia_triacanthos_sunburst",102,0,150,600
"100",70.32,"olea_europaea",102,0,150,600
"100",162.111945,"jacaranda_mimosifolia",102,0,150,600
"100",37.17624,"waterhousea_floribunda",102,0,150,600
"100",116.476145,"delonix_regia",102,0,150,600
"100",100.8284,"corymbia_citriodora",102,0,150,600
"100",90.87855,"angophora_costata",102,0,150,600
"100",196.35936,"lophostemon_confertus",102,0,150,600
"100",120.77208,"magnolia_grandiflora_littlegem",102,0,150,600
"100",226.41765,"eucalyptus_saligna",102,0,150,600
"100",78.90057,"angophora_costata",102,0,150,600
"100",102.3333,"banksia_integrifolia",102,0,150,600
"100",59.142575,"waterhousea_floribunda",102,0,150,600
"100",44.37928,"agonis_flexuosa",102,0,150,600
"100",116.70062,"delonix_regia",102,0,150,600
"100",90.742995,"angophora_costata",102,0,150,600
"100",87.31863,"magnolia_grandiflora_littlegem",102,0,150,600
"100",121.37818,"olea_europaea_mission",102,0,150,600
"100",87.26814,"eucalyptus_sideroxylon",102,0,150,600
"100",117.36025,"acer_freemanii",102,0,150,600
"100",133.446285,"jacaranda_mimosifolia",102,0,150,600
"100",77.53496,"olea_europaea_mission",102,0,150,600
"100",123.94122,"horsfieldia_australiana",102,0,150,600
"100",100.71363,"magnolia_grandiflora_littlegem",102,0,150,600
"100",131.55348,"acer_freemanii_autumnblaze",102,0,150,600
"100",99.427605,"ficus_microcarpa_hilliiflash",102,0,150,600
"100",102.4434,"lagerstroemia_indica_sioux",102,0,150,600
"100",95.0235,"carallia_brachiata",102,0,150,600
"100",109.22142,"corymbia_citriodora",102,0,150,600
"100",118.552885,"angophora_costata",102,0,150,600
"100",187.589395,"banksia_integrifolia",102,0,150,600
"100",71.06739,"magnolia_grandiflora_littlegem",102,0,150,600
"100",179.69666,"corymbia_maculata",102,0,150,600
"100",104.147845,"angophora_costata",102,0,150,600
"100",188.91735,"eucalyptus_saligna",102,0,150,600
"100",165.00902,"corymbia_maculata",102,0,150,600
"100",86.191765,"olea_europaea",102,0,150,600
"100",156.86999,"acer_freemanii_autumnblaze",102,0,150,600
"100",81.41575,"lophostemon_confertus",102,0,150,600
"100",139.94289,"elaeocarpus_reticulatus",102,0,150,600
"100",197.54098,"lophostemon_confertus",102,0,150,600
"100",106.4399,"fraxinus_griffithii",102,0,150,600
"100",119,"ficus_microcarpa_hilliiflash",102,0,150,600
"100",147.8466,"elaeocarpus_reticulatus",102,0,150,600
"100",36.3372,"pyrus_calleryana_chanticleer",102,0,150,600
"100",75.56752,"ganophyllum_falcatum",102,0,150,600
"100",64.20828,"banksia_integrifolia",102,0,150,600
"100",89.35832,"melaleuca_quinquenervia",102,0,150,600
"100",98.774,"pyrus_calleryana_chanticleer",102,0,150,600
"100",148.62419,"lagerstroemia_indica_natchez",102,0,150,600
"100",82.118465,"pyrus_calleryana_chanticleer",102,0,150,600
"100",127.6425,"pistacia_chinensis",102,0,150,600
"100",142.37638,"jacaranda_mimosifolia",102,0,150,600
"100",167.82462,"corymbia_maculata",102,0,150,600
"100",110.8779,"pyrus_calleryana_chanticleer",102,0,150,600
"100",285.54309,"eucalyptus_pilularis",102,0,150,600
"100",49.69295,"agonis_flexuosa",102,0,150,600
"100",217.237735,"brachychiton_rupestris",102,0,150,600
"100",145.884185,"delonix_regia",102,0,150,600
"100",110.75185,"horsfieldia_australiana",102,0,150,600
"100",134.1724,"ulmus_parvifolia",102,0,150,600
"100",129.92154,"jacaranda_mimosifolia",102,0,150,600
"100",84.19945,"eucalyptus_sideroxylon",102,0,150,600
"100",191.38995,"delonix_regia",102,0,150,600
"100",122.25075,"syzygium_armstrongii",102,0,150,600
"100",120.9271,"ulmus_parvifolia",102,0,150,600
"100",103.6795,"acer_freemanii",102,0,150,600
"100",222.65907,"eucalyptus_saligna",102,0,150,600
"100",94.32288,"eucalyptus_saligna",102,0,150,600
"100",173.35107,"corymbia_maculata",102,0,150,600
"100",75.09201,"peltophorum_pterocarpum",102,0,150,600
"100",164.830655,"corymbia_maculata",102,0,150,600
"100",143.821265,"jacaranda_mimosifolia",102,0,150,600
"100",87.07368,"callistemon_kingsparkspecial",102,0,150,600
"100",260.0136,"eucalyptus_pilularis",102,0,150,600
"100",122.1892,"corymbia_maculata",102,0,150,600
"100",111.78937,"angophora_costata",102,0,150,600
"100",121.94364,"elaeocarpus_reticulatus",102,0,150,600
"100",93.01344,"zelkova_serrata_greenvase",102,0,150,600
"100",76.96449,"magnolia_grandiflora_littlegem",102,0,150,600
"100",200.340975,"araucaria_heterophylla",102,0,150,600
"100",28.43346,"waterhousea_floribunda",102,0,150,600
"100",82.98801,"angophora_costata",102,0,150,600
"100",179.89818,"angophora_costata",102,0,150,600
"100",70.5375,"olea_europaea",102,0,150,600
"100",122.05782,"acer_freemanii_autumnblaze",102,0,150,600
"100",133.61232,"acer_freemanii_autumnblaze",102,0,150,600
"100",169.1208,"waterhousea_floribunda",102,0,150,600
"100",191.8777,"araucaria_heterophylla",102,0,150,600
"100",174.382485,"horsfieldia_australiana",102,0,150,600
"100",296.95408,"eucalyptus_pilularis",102,0,150,600
"100",118.3989,"corymbia_citriodora",102,0,150,600
"100",70.17542,"olea_europaea_mission",102,0,150,600
"100",47.11432,"elaeocarpus_eumundii",102,0,150,600
"100",103.98985,"lagerstroemia_indica_sioux",102,0,150,600
"100",47.2068,"callistemon_kingsparkspecial",102,0,150,600
"100",149.843,"pistacia_chinensis",102,0,150,600
"100",98.7424,"fraxinus_griffithii",102,0,150,600
"100",170.45509,"cupaniopsis_anacardioides",102,0,150,600
"100",57.880875,"elaeocarpus_eumundii",102,0,150,600
