"nursery","species","genus_species","volume","climate_region","origin","leaf_type","calliper300.mean","rcd.mean","height_m.mean","sizeindex.mean","calliper300.se","rcd.se","height_m.se","sizeindex.se","longitude","latitude","tmean_1","tmean_2","tmean_3","tmean_4","tmean_5","tmean_6","tmean_7","tmean_8","tmean_9","tmean_10","tmean_11","tmean_12","prec_1","prec_2","prec_3","prec_4","prec_5","prec_6","prec_7","prec_8","prec_9","prec_10","prec_11","prec_12","MAT","MAP"
"adelaide advanced","magnolia_grandiflora","magnolia_grandiflora",18,"South Australia","non-native","evergreen",14.6347058823529,18.4147058823529,1.17111764705882,17.2117535294118,0.308517407802145,0.509139894423356,0.0207714953072964,0.613733443126647,-35.064844,138.647758,20.7,20.9,19,16.1,13.2,11,10.1,10.8,12.3,14.7,17,18.9,21,21,28,60,92,89,104,87,69,58,37,32,15.3916666666667,698
"adelaide tree farm","lagerstroemia_indica_natchez","lagerstroemia_indica",45,"South Australia","non-native","deciduous",29.9308888888889,38.6453333333333,2.56195555555556,76.7000152222222,0.310817888514201,0.495490533397833,0.0381603601453099,1.41167073012773,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.2583333333333,862
"adelaide tree farm","lagerstroemia_indica_zuni","lagerstroemia_indica",14,"South Australia","non-native","deciduous",15.8929268292683,22.5167073170732,1.44509756097561,23.0944712195122,0.328840441311224,0.308791883194345,0.0221773287027059,0.707649132894433,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.2583333333333,862
"adelaide tree farm","lagerstroemia_indica_tuscarora","lagerstroemia_indica",45,"South Australia","non-native","deciduous",22.96725,30.179,2.1067,48.43361925,0.600449116451484,0.61756702171974,0.0507438406944237,1.73245873315398,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.2583333333333,862
"adelaide tree farm","liquidambar_formosana","liquidambar_formosana",45,"South Australia","non-native","deciduous",35.5525,51.5297916666667,3.19625,113.837756666667,0.393359163055115,0.822103307225195,0.0592335175508704,2.87023466046373,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.2583333333333,862
"adelaide tree farm","lagerstroemia_indica_sioux","lagerstroemia_indica",14,"South Australia","non-native","deciduous",18.1563333333333,24.5974444444444,1.7198,31.2672412222222,0.285438100279043,0.312813423520962,0.0264740887234551,0.728222767107716,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.2583333333333,862
"alpine","acer_freemanii_autumnblaze","acer_freemanii",100,"New South Wales","non-native","deciduous",42.1277631578947,49.1323684210526,3.17284210526316,134.047383552632,0.486166555345565,0.530042160513519,0.0461163956044941,3.06527350870338,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","jacaranda_mimosifolia","jacaranda_mimosifolia",25,"New South Wales","non-native","deciduous",22.1127777777778,29.9461111111111,1.86966666666667,41.6564061111111,1.17934454227029,1.309952495369,0.0771805243136721,3.15214542474367,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","angophora_costata","angophora_costata",600,"New South Wales","native","evergreen",96.482,118.434,4.844,466.83176,2.64282500366559,1.59669377151663,0.107236654181301,12.0968463640026,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","callistemon_kingsparkspecial","callistemon_kingsparkspecial",25,"New South Wales","native","evergreen",20.2016666666667,27.0297777777778,1.82222222222222,36.9891583333333,0.423545282184333,0.354377457968265,0.0314885563450573,1.14938018471293,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","corymbia_maculata","corymbia_maculata",200,"New South Wales","native","evergreen",71.9016666666667,94.0016666666667,4.8325,346.245466666667,1.92672419175945,2.70793945853875,0.32124463679051,22.1995077699952,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_saligna","eucalyptus_saligna",100,"New South Wales","native","evergreen",47.362,58.1955,4.40445,208.51803075,1.00932223220389,1.29585751430025,0.15826590674192,8.72736738927498,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_saligna","eucalyptus_saligna",300,"New South Wales","native","evergreen",76.765,92.343125,4.925875,379.194788125,1.96067886384866,2.25898423315104,0.134487975763635,18.2555210559513,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","angophora_costata","angophora_costata",100,"New South Wales","native","evergreen",33.1746428571429,47.0607142857143,3.14385714285714,104.641966428571,1.04893843043704,1.35073228583842,0.0481941879153763,4.28229704449146,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
