species,origin,leaf_type
jacaranda_mimosifolia,non-native,deciduous
koelreuteria_paniculata,non-native,deciduous
lagerstroemia_fauriei_fantasy,non-native,deciduous
lagerstroemia_indica_biloxi,non-native,deciduous
lagerstroemia_indica_kiowa,non-native,deciduous
lagerstroemia_indica_natchez,non-native,deciduous
lagerstroemia_indica_sioux,non-native,deciduous
lagerstroemia_indica_tuscarora,non-native,deciduous
lagerstroemia_indica_zuni,non-native,deciduous
liquidambar_formosana,non-native,deciduous
liquidambar_styraciflua,non-native,deciduous
lophostemon_confertus,native,evergreen
lophostemon_suaveolens,native,evergreen
magnolia_grandiflora,non-native,evergreen
magnolia_grandiflora_exmouth,non-native,evergreen
magnolia_grandiflora_greenback,non-native,evergreen
magnolia_grandiflora_littlegem,non-native,evergreen
malus_transitoria_royalraindrops,non-native,deciduous
melaleuca_leucadendra_fineleaf,native,evergreen
melaleuca_quinquenervia,native,evergreen
melaleuca_rhaphiophylla,native,evergreen
melia_azedarach,native,deciduous
melia_azedarach_caroline,native,deciduous
mimusops_elengi,non-native,evergreen
olea_europaea,non-native,evergreen
olea_europaea_manzanillo,non-native,evergreen
olea_europaea_mission,non-native,evergreen
olea_europaea_newnoricamission,non-native,evergreen
olea_europaea_swanhill,non-native,evergreen
olea_europaea_tolleysupright,non-native,evergreen
peltophorum_pterocarpum,non-native,deciduous
pistacia_chinensis,non-native,deciduous
platanus_acerifolia,non-native,deciduous
platanus_orientalis_insularis,non-native,deciduous
prunus_blireana,non-native,deciduous
prunus_cerasifera_nigra,non-native,deciduous
pyrus_calleryana_capital,non-native,deciduous
pyrus_calleryana_chanticleer,non-native,deciduous
pyrus_calleryana_clevelandselect,non-native,deciduous
pyrus_calleryana_winterglow,non-native,deciduous
pyrus_ussuriensis,non-native,deciduous
quercus_palustris,non-native,deciduous
quercus_rubra,non-native,deciduous
quercus_virginiana ,non-native,evergreen
randia_fitzalanii,native,evergreen
syzygium_armstrongii,native,evergreen
syzygium_australe_bigred,native,evergreen
syzygium_cunninghamiana,native,evergreen
syzygium_tierneyanum,native,evergreen
terminalia_microcarpa,native,deciduous
tipuana_tipu,non-native,deciduous
tristaniopsis_laurina,native,evergreen
tristaniopsis_laurina_luscious,native,evergreen
ulmus_parvifolia,non-native,deciduous
ulmus_parvifolia_allee,non-native,deciduous
ulmus_parvifolia_athena,non-native,deciduous
ulmus_parvifolia_reflection,non-native,deciduous
ulmus_parvifolia_todd,non-native,deciduous
ulmus_procera_vanhoutte,non-native,deciduous
waterhousea_floribunda,native,evergreen
waterhousea_floribunda_ameroo,native,evergreen
waterhousea_floribunda_greenavenue,native,evergreen
xanthostemon_chrysanthus,native,evergreen
zelkova_serrata,non-native,deciduous
zelkova_serrata_goldenflame,non-native,deciduous
zelkova_serrata_greenvase,non-native,deciduous
zelkova_serrata_musashino,non-native,deciduous
zelkova_serrata_wireless,non-native,deciduous
