"nursery","species","date","batch_id","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region","genus_species","variety","origin","leaf_type","slenderness","balanced","toobig","toosmall"
"adelaide advanced","angophora_costata","2016-11-04","AC_27",27,17.59,23.72,1.1,19.349,1.28665852461569,1.43136376415899,0.0413926851582251,1.24526583945746,1.37511468469223,"South Australia","angophora_costata",NA,"native","evergreen",0.0625355315520182,"fail","normal","small"
"adelaide advanced","ginkgo_biloba","2016-11-04","GB_27",27,21.345,40.03,2,42.69,1.63032615480395,1.43136376415899,0.301029995663981,1.32929615913997,1.60238559010511,"South Australia","ginkgo_biloba",NA,"non-native","deciduous",0.09369875849145,"pass","normal","normal"
"adelaide advanced","ulmus_parvifolia_todd","2016-11-04","UMT_27",27,22.555,28.89,2.183,49.237565,1.69229656714287,1.43136376415899,0.339053735709139,1.35324283143373,1.4607475418442,"South Australia","ulmus_parvifolia","todd","non-native","deciduous",0.0967856351141654,"fail","big","normal"
"adelaide advanced","ginkgo_biloba","2016-11-04","GB_27",27,24.03,29.905,2.059,49.47777,1.69441011742193,1.43136376415899,0.313656346618031,1.3807537708039,1.47574380674813,"South Australia","ginkgo_biloba",NA,"non-native","deciduous",0.0856845609654598,"fail","big","normal"
"adelaide advanced","corymbia_maculata","2016-11-04","CM_27",27,18.085,24.64,1.798,32.51683,1.51210820049485,1.43136376415899,0.25478968739721,1.25731851309764,1.39164070349239,"South Australia","corymbia_maculata",NA,"native","evergreen",0.0994194083494609,"fail","normal","small"
"adelaide advanced","angophora_costata","2016-11-04","AC_27",27,16.67,25.29,1.409,23.48803,1.37084659293736,1.43136376415899,0.148910993109356,1.22193559982801,1.4029488293444,"South Australia","angophora_costata",NA,"native","evergreen",0.0845230953809238,"fail","normal","small"
"adelaide advanced","ulmus_parvifolia_todd","2016-11-04","UMT_27",27,22.065,28.51,2.174,47.96931,1.68096347153349,1.43136376415899,0.337259539750276,1.34370393178321,1.45499721730946,"South Australia","ulmus_parvifolia","todd","non-native","deciduous",0.098527079084523,"pass","normal","normal"
"adelaide advanced","ginkgo_biloba","2016-11-04","GB_27",27,21.745,31.59,2.081,45.251345,1.65563149221298,1.43136376415899,0.318272080211627,1.33735941200135,1.49954962590515,"South Australia","ginkgo_biloba",NA,"non-native","deciduous",0.0957001609565417,"pass","normal","normal"
"adelaide advanced","ginkgo_biloba","2016-11-04","GB_27",27,21.995,34.24,2.315,50.918425,1.70687496166685,1.43136376415899,0.364550995353972,1.34232396631288,1.53453375600512,"South Australia","ginkgo_biloba",NA,"non-native","deciduous",0.105251193453058,"fail","big","normal"
"adelaide advanced","angophora_costata","2016-11-04","AC_27",27,21.5,26.85,1.756,37.754,1.57696297148569,1.43136376415899,0.244524511570084,1.33243845991561,1.42894429003557,"South Australia","angophora_costata",NA,"native","evergreen",0.0816744186046512,"pass","normal","normal"
