batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
001-A-045,araucaria_heterophylla,200,1,446.2,16,4,168,,,,,,
001-A-045,araucaria_heterophylla,200,2,430,18,5,119,,,,,,
001-A-045,araucaria_heterophylla,200,3,440.6,49,4,119,,,,,,
001-A-045,araucaria_heterophylla,200,4,451.6,39,3,153,,,,,,
001-A-045,araucaria_heterophylla,200,5,279.1,32,5,1008,,,,,,
001-A-045,araucaria_heterophylla,200,6,395.9,62,11,139,,,,,,
001-A-045,araucaria_heterophylla,200,7,437,34,3,153,,,,,,
001-A-045,araucaria_heterophylla,200,8,436.9,63,9,125,,,,,,
001-A-045,araucaria_heterophylla,200,9,429.5,25,5,160,,,,,,
001-A-045,araucaria_heterophylla,200,10,444.4,76,9,122,,,,,,
002-A-052,elaeocarpus_reticulatus_primadonna,400,1,381.4,57,6,90,15.62,10.38,24.51,0.18,0.12,0.36
002-A-052,elaeocarpus_reticulatus_primadonna,400,2,492,55,8,89,18.44,24.3,12.31,0.22,0.32,0.13
002-A-052,elaeocarpus_reticulatus_primadonna,400,3,420.7,4,1,105,17.66,22.7,20.73,0.19,0.32,0.25
002-A-052,elaeocarpus_reticulatus_primadonna,400,4,442.2,55,8,104,27.89,24.21,35.79,0.34,0.26,0.37
002-A-021,elaeocarpus_reticulatus_primadonna,75,1,239.6,3,6,74,15.41,13.34,12.04,0.21,0.21,0.22
002-A-021,elaeocarpus_reticulatus_primadonna,75,2,280.9,13,10,59,18.03,15.52,15.58,0.27,0.2,0.24
002-A-021,elaeocarpus_reticulatus_primadonna,75,3,221.1,25,7,65,14.79,11.66,13.31,0.25,0.19,0.22
002-A-021,elaeocarpus_reticulatus_primadonna,75,4,249.7,23,13,44,18.18,15.42,15.76,0.3,0.23,0.27
002-A-021,elaeocarpus_reticulatus_primadonna,75,5,304.9,28,12,53,17.19,17.12,16.05,0.25,0.27,0.23
002-A-021,elaeocarpus_reticulatus_primadonna,75,6,322.7,23,11,62,16.8,11.28,14.17,0.24,0.15,0.17
002-A-021,elaeocarpus_reticulatus_primadonna,75,7,330.6,38,8,49,25.11,13.08,13.48,0.37,0.21,0.19
002-A-021,elaeocarpus_reticulatus_primadonna,75,8,337.7,20,11,57,17.58,13.28,18.41,0.28,0.19,0.26
002-A-021,elaeocarpus_reticulatus_primadonna,75,9,325.6,21,8,66,11.01,16.05,15.44,0.13,0.22,0.21
002-A-021,elaeocarpus_reticulatus_primadonna,75,10,328.4,25,9,49,16.35,13.96,12.59,0.25,0.17,0.17
005-A-015,elaeocarpus_reticulatus_primadonna,100,1,292.1,12,12,58,8.82,6.89,14.29,0.13,0.09,0.19
005-A-015,elaeocarpus_reticulatus_primadonna,100,2,300.6,21,12,57,10.02,13.97,14.26,0.13,0.19,0.19
005-A-015,elaeocarpus_reticulatus_primadonna,100,3,300,10,8,58,17.21,17.61,9.9,0.26,0.23,0.14
005-A-015,elaeocarpus_reticulatus_primadonna,100,4,282.1,9,3,67,12.29,18.85,13.08,0.17,0.26,0.17
005-A-015,elaeocarpus_reticulatus_primadonna,100,5,275.1,34,14,86,11.43,7.01,10.66,0.16,0.1,0.17
005-A-015,elaeocarpus_reticulatus_primadonna,100,6,299.5,45,13,74,19.23,9.83,15.74,0.25,0.13,0.2
005-A-015,elaeocarpus_reticulatus_primadonna,100,7,300.9,25,9,52,10.67,22.94,16.06,0.16,0.38,0.28
