species,batch_id,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
acer_rubrum_octoberglory,ar_200,200,1,452,136,6,127,,,,,,
angophora_costata,ac_100,100,1,433.3,83,6,56,,,,,,
angophora_costata,ac_100,100,2,460.1,91,5,87,,,,,,
angophora_costata,ac_100,100,3,433.4,91,3,48,,,,,,
angophora_costata,ac_100,100,4,466.5,82,4,122,,,,,,
angophora_costata,ac_100,100,5,437,130,4,82,,,,,,
angophora_costata,ac_100,100,6,439.6,84,8,107,,,,,,
angophora_costata,ac_100,100,7,365.5,84,3,73,,,,,,
angophora_costata,ac_100,100,8,394.4,105,4,86,,,,,,
angophora_costata,ac_100,100,9,345.5,80,5,126,,,,,,
angophora_costata,ac_100,100,10,433.1,112,2,78,,,,,,
araucaria_heterophylla,ah_200,200,1,446.1,123,6,120,,,,,,
araucaria_heterophylla,ah_200,200,2,389.5,123,9,130,,,,,,
araucaria_heterophylla,ah_200,200,3,437.6,120,4,110,,,,,,
araucaria_heterophylla,ah_200,200,4,434.5,116,4,134,,,,,,
araucaria_heterophylla,ah_200,200,5,435,211,4,136,,,,,,
araucaria_heterophylla,ah_200,200,6,431.8,120,6,157,,,,,,
araucaria_heterophylla,ah_200,200,7,411.4,130,7,159,,,,,,
araucaria_heterophylla,ah_200,200,8,434.8,136,6,162,,,,,,
araucaria_heterophylla,ah_200,200,9,451.9,133,13,121,,,,,,
araucaria_heterophylla,ah_100,100,1,325,90,10,70,,,,,,
araucaria_heterophylla,ah_100,100,2,334.1,100,8,78,,,,,,
araucaria_heterophylla,ah_100,100,3,341.4,103,9,112,,,,,,
araucaria_heterophylla,ah_100,100,4,362.3,101,8,105,,,,,,
araucaria_heterophylla,ah_100,100,5,357,102,11,122,,,,,,
araucaria_heterophylla,ah_100,100,6,362.4,90,8,90,,,,,,
araucaria_heterophylla,ah_100,100,7,434.4,89,8,118,,,,,,
araucaria_heterophylla,ah_100,100,8,367.5,89,11,101,,,,,,
araucaria_heterophylla,ah_100,100,9,404.5,93,10,99,,,,,,
araucaria_heterophylla,ah_100,100,10,335.2,96,10,112,,,,,,
corymbia_maculata,cm_500,500,1,716,183,6,103,46.4,55.2,34.9,0.72,0.96,0.62
corymbia_maculata,cm_500,500,2,601.4,209,4,79,27.7,20.6,22,0.34,0.26,0.25
corymbia_maculata,cm_500,500,3,613.4,204,3,104,36.3,44.3,48.2,0.55,0.66,0.67
corymbia_maculata,cm_500,500,4,553.9,198,4,108,42.2,48.7,68.6,0.66,0.62,0.92
corymbia_maculata,cm_500,500,5,614.5,230,2,148,30.3,22.5,21.4,0.42,0.28,0.24
