species,batch_id,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
acer_freemanii_autumnblaze,af_100,100,1,355,101,6,66,,,,,,
acer_freemanii_autumnblaze,af_100,100,2,350,117,7,67,,,,,,
acer_freemanii_autumnblaze,af_100,100,3,350,81,4,76,,,,,,
acer_freemanii_autumnblaze,af_100,100,4,335,80,5,60,,,,,,
acer_freemanii_autumnblaze,af_100,100,5,355,86,6,54,,,,,,
acer_freemanii_autumnblaze,af_100,100,6,365,100,5,53,,,,,,
acer_freemanii_autumnblaze,af_100,100,7,360,82,3,64,,,,,,
acer_freemanii_autumnblaze,af_100,100,8,365,83,6,82,,,,,,
acer_freemanii_autumnblaze,af_100,100,9,365,98,6,63,,,,,,
acer_freemanii_autumnblaze,af_100,100,10,365,111,8,82,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,1,455,84,6,87,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,2,442,95,10,68,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,3,400,82,7,62,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,4,466,107,7,88,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,5,462,121,14,84,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,6,430,117,6,112,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,7,425,103,4,65,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,8,450,93,8,104,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,9,415,117,11,85,,,,,,
acer_freemanii_autumnblaze,af_100_2,100,10,421,93,7,87,,,,,,
acer_freemanii_autumnblaze,af_33,18,1,219.7,100,6,61,,,,,,
acer_freemanii_autumnblaze,af_33,18,2,235.8,97,7,28,,,,,,
acer_freemanii_autumnblaze,af_33,18,3,213.6,90,5,27,,,,,,
acer_freemanii_autumnblaze,af_33,18,4,223.6,80,3,32,,,,,,
acer_freemanii_autumnblaze,af_33,18,5,220.7,94,5,31,,,,,,
acer_freemanii_autumnblaze,af_33,18,6,212,103,2,23,,,,,,
acer_freemanii_autumnblaze,af_33,18,7,221.1,79,4,37,,,,,,
acer_freemanii_autumnblaze,af_33,18,8,223.7,122,6,36,,,,,,
acer_freemanii_autumnblaze,af_33,18,9,213,83,5,25,,,,,,
acer_freemanii_autumnblaze,af_33,18,10,225.4,107,8,24,,,,,,
acer_rubrum_octoberglory,ar-45,45,1,305,90,12,67,,,,,,
acer_rubrum_octoberglory,ar-45,45,2,330,94,12,60,,,,,,
acer_rubrum_octoberglory,ar-45,45,3,315,80,11,54,,,,,,
acer_rubrum_octoberglory,ar-45,45,4,325,99,17,54,,,,,,
acer_rubrum_octoberglory,ar-45,45,5,335,77,10,50,,,,,,
acer_rubrum_octoberglory,ar-45,45,6,320,71,10,59,,,,,,
acer_rubrum_octoberglory,ar-45,45,7,315,82,9,56,,,,,,
acer_rubrum_octoberglory,ar-45,45,8,295,78,16,55,,,,,,
acer_rubrum_octoberglory,ar-45,45,9,335,98,8,53,,,,,,
acer_rubrum_octoberglory,ar-45,45,10,185,92,6,67,,,,,,
acer_rubrum_octoberglory,ar-200,200,1,445,114,6,122,,,,,,
acer_rubrum_octoberglory,ar-200,200,2,500,97,8,123,,,,,,
acer_rubrum_octoberglory,ar-200,200,3,485,102,8,120,,,,,,
acer_rubrum_octoberglory,ar-200,200,4,485,98,8,140,,,,,,
acer_rubrum_octoberglory,ar-200,200,5,485,96,9,102,,,,,,
acer_rubrum_octoberglory,ar-200,200,6,475,101,4,114,,,,,,
acer_rubrum_octoberglory,ar-200,200,7,440,83,4,112,,,,,,
acer_rubrum_octoberglory,ar-200,200,8,440,105,10,141,,,,,,
acer_rubrum_octoberglory,ar-200,200,9,480,104,6,142,,,,,,
acer_rubrum_octoberglory,ar-200,200,10,485,104,5,123,,,,,,
acer_rubrum_octoberglory,ar_33,18,1,232,91,4,40,,,,,,
acer_rubrum_octoberglory,ar_33,18,2,228,75,4,41,,,,,,
