species,batch_id,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
acer_freemanii_autumnblaze,ara_45,45,1,294.5,61,8,68,,,,,,
acer_freemanii_autumnblaze,ara_45,45,2,287.3,68,6,58,,,,,,
acer_freemanii_autumnblaze,ara_45,45,3,301.2,50,5,63,,,,,,
acer_freemanii_autumnblaze,ara_45,45,4,299,49,8,57,,,,,,
acer_freemanii_autumnblaze,ara_45,45,5,310.2,43,7,63,,,,,,
acer_freemanii_autumnblaze,ara_45,45,6,308.7,51,10,58,,,,,,
acer_freemanii_autumnblaze,ara_45,45,7,258.9,50,11,82,,,,,,
acer_freemanii_autumnblaze,ara_45,45,8,319.6,48,6,58,,,,,,
acer_freemanii_autumnblaze,ara_45,45,9,250.2,50,8,58,,,,,,
acer_freemanii_autumnblaze,ara_45,45,10,297.5,50,10,66,,,,,,
acer_freemanii_autumnblaze,ara_150,150,1,424,93,7,129,,,,,,
acer_freemanii_autumnblaze,ara_150,150,2,444.2,99,6,116,,,,,,
acer_freemanii_autumnblaze,ara_150,150,3,417.9,84,5,101,,,,,,
acer_freemanii_autumnblaze,ara_150,150,4,406.9,79,10,95,,,,,,
acer_freemanii_autumnblaze,ara_150,150,5,403.1,73,8,131,,,,,,
acer_freemanii_autumnblaze,ara_150,150,6,444.9,70,11,142,,,,,,
acer_freemanii_autumnblaze,ara_150,150,7,430.4,74,5,96,,,,,,
acer_freemanii_autumnblaze,ara_150,150,8,424.7,89,8,118,,,,,,
acer_freemanii_autumnblaze,ara_150,150,9,426.4,86,11,88,,,,,,
acer_freemanii_autumnblaze,ara_150,150,10,403,85,9,91,,,,,,
angophora_costata,ac_100,100,1,311,36,5,97,35.6,26.1,31,0.53,0.37,0.45
angophora_costata,ac_100,100,2,338.3,15,7,87,16.9,31.7,40.1,0.24,0.44,0.56
angophora_costata,ac_100,100,3,287.6,18,5,99,40.2,31.3,43.5,0.53,0.43,0.6
angophora_costata,ac_100,100,4,296.1,34,3,97,19.1,18.9,22.8,0.26,0.25,0.32
angophora_costata,ac_100,100,5,301.7,25,2,90,24.2,27,23.4,0.26,0.3,0.26
angophora_costata,ac_100,100,6,318.5,26,4,77,18.9,20.6,13.1,0.24,0.27,0.16
angophora_costata,ac_100,100,7,315.7,29,5,91,16.7,22.6,37.5,0.23,0.28,0.5
angophora_costata,ac_100,100,8,305.3,22,3,86,44.4,33.5,22.7,0.69,0.54,0.27
angophora_costata,ac_100,100,9,277,67,2,93,24.7,17.8,29.9,0.32,0.22,0.4
angophora_costata,ac_100,100,10,287.2,61,5,102,20.9,30.3,28.1,0.3,0.39,0.35
angophora_costata,ac_45,45,1,179.6,52,5,59,29.4,20.9,26.4,0.45,0.31,0.38
angophora_costata,ac_45,45,2,211.9,17,5,70,40.3,27.8,17.9,0.68,0.46,0.31
angophora_costata,ac_45,45,3,219.9,44,5,75,21.4,18.5,24.4,0.29,0.27,0.37
angophora_costata,ac_45,45,4,199.8,37,6,63,23.3,36.7,26.3,0.41,0.66,0.43
angophora_costata,ac_45,45,5,151.9,38,5,78,20.6,19.2,14.3,0.26,0.21,0.17
angophora_costata,ac_45,45,6,242.2,27,5,86,18.4,20.1,15.2,0.27,0.32,0.23
angophora_costata,ac_45,45,7,173.4,42,5,83,31.9,24.7,31.7,0.46,0.38,0.46
angophora_costata,ac_45,45,8,194.5,42,6,68,17.6,20.8,31.9,0.26,0.28,0.53
angophora_costata,ac_45,45,9,246.4,41,5,77,14.3,24.3,25.4,0.17,0.31,0.29
angophora_costata,ac_45,45,10,182.1,56,8,79,15.3,19,21.6,0.19,0.24,0.29
