nursery,date,species,site,batch_id,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-036,001-A-036-ficus_macrocarpa_flash,200,90.435,90.835,2.988,270.21978,2.431717136,2.301029996,0.475380593,1.956336543,1.958253221
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-036,001-A-036-ficus_macrocarpa_flash,200,83.96,94.365,3.265,274.1294,2.437955616,2.301029996,0.513883186,1.92407243,1.974810944
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,43.36,54.09,2.49,107.9664,2.033288621,2,0.396199347,1.637089274,1.733116981
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,38.8,49.66,2.33,90.404,1.956187647,2,0.367355921,1.588831726,1.696006715
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,43.815,55.995,2.46,107.7849,2.032557923,2,0.390935107,1.641622816,1.748149249
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,47.31,53.94,2.395,113.30745,2.054258466,2,0.379305518,1.674952948,1.731910942
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,46.455,57.425,2.58,119.8539,2.07865217,2,0.411619706,1.667032464,1.759101004
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,43.765,51.61,2.377,104.029405,2.017156115,2,0.376029182,1.641126933,1.712733859
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,47.795,54.16,2.37,113.27415,2.054130812,2,0.374748346,1.679382466,1.733678656
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,42.42,52.285,2.486,105.45612,2.023071788,2,0.395501124,1.627570664,1.718377112
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,48.085,59.57,2.536,121.94356,2.08615887,2,0.404149249,1.68200962,1.7750276
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,40.955,59.085,2.115,86.619825,1.937617302,2,0.325310372,1.61230693,1.77147724
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,42.84,55.42,2.325,99.603,1.998272419,2,0.366422957,1.631849462,1.743666521
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,42.115,55.325,2.566,108.06709,2.033693457,2,0.409256652,1.624436805,1.742921423
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,51.065,59.37,2.498,127.56037,2.10571577,2,0.397592434,1.708123336,1.773567049
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,40.545,54.36,2.489,100.916505,2.003962201,2,0.396024897,1.607937305,1.735279448
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,47,67.04,2.325,109.275,2.038520815,2,0.366422957,1.672097858,1.826334006
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,41.07,52.105,2.405,98.77335,1.994639784,2,0.381115081,1.613524703,1.7168794
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,46.365,50.61,2.06,95.5119,1.980057484,2,0.31386722,1.666190264,1.704236337
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,46.355,53.66,2.575,119.364125,2.076873819,2,0.410777233,1.666096585,1.729650668
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,52.79,63.74,2.422,127.85738,2.106725801,2,0.384174139,1.722551662,1.804412059
a_mm,26/05/2016,ficus_microcarpa_hilliiflash,Mangrove Mountain,001-A-020,001-A-020-ficus_macrocarpa_flash,100,51.86,62.635,2.675,138.7255,2.142156299,2,0.427323786,1.714832512,1.796817082
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,102.44,118.16,4.037,413.55028,2.616528319,2.602059991,0.606058749,2.01046957,2.072470482
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,109.91,137.745,1.999,219.71009,2.341850002,2.602059991,0.300812794,2.041037208,2.139075843
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,103.09,133.965,5.376,554.21184,2.7436758,2.602059991,0.73045926,2.01321654,2.126991348
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,94.5,115.03,4.27,403.515,2.605859684,2.602059991,0.630427875,1.975431809,2.06081112
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,101.905,121.815,4.377,446.038185,2.64937204,2.602059991,0.641176547,2.008195493,2.08570077
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,93.655,115.005,4.659,436.338645,2.639823679,2.602059991,0.66829271,1.971530968,2.060716722
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,115.5,139.835,4.794,553.707,2.743280014,2.602059991,0.68069803,2.062581984,2.145615887
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,103.555,120.95,5.039,521.813645,2.717515431,2.602059991,0.702344358,2.015171073,2.082605873
a_mm,26/05/2016,jacaranda_mimosifolia,Mangrove Mountain,001-A-039,001-A-039-jacaranda_mimosifolia,400,96.51,116.18,4.325,417.40575,2.620558427,2.602059991,0.635986112,1.984572316,2.065131372
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,70.325,90.24,4.813,338.474225,2.529525603,2.301029996,0.682415862,1.847109741,1.955399087
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,63.31,74.445,4.053,256.59543,2.409248917,2.301029996,0.607776604,1.801472314,1.871835534
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,58.365,65.605,4.226,246.65049,2.392081983,2.301029996,0.625929493,1.76615249,1.81693694
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,70.285,77.31,3.831,269.261835,2.430174801,2.301029996,0.583312152,1.846862649,1.888235673
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,63.865,77.675,3.835,244.922275,2.389028285,2.301029996,0.583765368,1.805262917,1.890281262
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,53.445,67.18,4.667,249.427815,2.396944882,2.301029996,0.669037801,1.727907081,1.82724
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,58.795,75.275,3.348,196.84566,2.294125844,2.301029996,0.524785449,1.769340395,1.876650764
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,58.815,75.6,4.024,236.67156,2.374146073,2.301029996,0.604657972,1.769488101,1.878521796
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,44.24,53.805,2.54,112.3696,2.050648835,2.301029996,0.404833717,1.645815118,1.730822636
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,60.42,76.99,4.055,245.0031,2.389171579,2.301029996,0.607990859,1.781180721,1.88643432
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,61.995,77.96,4.217,261.432915,2.417360265,2.301029996,0.625003601,1.792356664,1.89187183
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,54.54,72.165,5.445,296.9703,2.472713018,2.301029996,0.735997884,1.736715134,1.858326616
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,61.195,67.43,4.76,291.2882,2.464322892,2.301029996,0.677606953,1.786715939,1.82885316
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,60.93,75.515,4.354,265.28922,2.423719603,2.301029996,0.638888425,1.784831178,1.878033227
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,005-A-042,005-A-042-lophostemon_confertus,200,58.68,67.54,5.154,302.43672,2.480634519,2.301029996,0.712144414,1.768490105,1.829561056
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,39.865,55.345,3.51,139.92615,2.145898885,1.875061263,0.545307116,1.600591768,1.743078392
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,47.36,54.52,4.24,200.8064,2.30277755,1.875061263,0.627365857,1.675411694,1.736555847
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,37.835,51.93,4.044,153.00474,2.184704885,1.875061263,0.606811147,1.577893738,1.715418323
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,36.11,47.11,3.555,128.37105,2.108467093,1.875061263,0.550839605,1.557627488,1.673113104
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,36.165,44.885,3.552,128.45808,2.108761427,1.875061263,0.550472957,1.558288469,1.65210123
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,42.705,58.035,4.422,188.84151,2.276097464,1.875061263,0.645618738,1.630478726,1.763689989
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,34.075,45.245,3.543,120.727725,2.081807017,1.875061263,0.549371152,1.532435865,1.655570593
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,31.71,45.265,3.509,111.27039,2.04637961,1.875061263,0.545183368,1.501196242,1.655762525
a_mm,26/05/2016,lophostemon_confertus,Mangrove Mountain,001-A-076,001-A-076-lophostemon_confertus,75,39.71,54.99,3.594,142.71774,2.15447796,1.875061263,0.555578073,1.598899887,1.74028372
