nursery,date,species,batch_id,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,38.465,42.975,2.986,114.85649,2.06015554,2,0.475089803,1.585065737,1.633215885
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.99,47.88,2.896,118.70704,2.074476476,2,0.461798558,1.612677918,1.680154142
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.23,49.235,3.034,122.05782,2.086565609,2,0.482015576,1.604550033,1.692273942
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,38.58,47.13,2.809,108.37122,2.034913963,2,0.448551739,1.586362223,1.67329744
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,39.33,46.905,2.986,117.43938,2.06981375,2,0.475089803,1.594723946,1.67121914
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.16,46.235,3.327,133.61232,2.125846505,2,0.522052801,1.603793704,1.664970862
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,43.18,50.005,2.486,107.34548,2.030783762,2,0.395501124,1.635282638,1.699013432
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,41.635,50.155,2.969,123.614315,2.092068767,2,0.472610198,1.619458569,1.700314235
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,35.81,41.975,3.173,113.62513,2.055474393,2,0.501470072,1.554004321,1.622990705
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,41.625,50.02,3.116,129.7035,2.112951696,2,0.493597449,1.619354247,1.699143687
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,39.515,45.88,3.347,132.256705,2.121417699,2,0.524655712,1.596761986,1.661623409
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.345,46.97,3.404,137.33438,2.137779271,2,0.531989551,1.60578972,1.67182056
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,42.53,49.56,3.094,131.58782,2.119215692,2,0.490520309,1.628695383,1.695131298
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,38.365,48.65,3.067,117.665455,2.070648979,2,0.486713776,1.583935203,1.687082845
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,45.075,51.56,2.719,122.558925,2.088344943,2,0.434409208,1.653935735,1.712312909
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,42.78,49.48,3.419,146.26482,2.165139881,2,0.533899101,1.63124078,1.694429691
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,43.055,50.665,2.959,127.399745,2.105168559,2,0.471144965,1.634023594,1.704708047
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,41.59,48.23,3.205,133.29595,2.124816954,2,0.505828034,1.61898892,1.683317262
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,47.97,54.74,3.247,155.75859,2.192452007,2,0.511482289,1.680969718,1.738304793
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,47.845,56.11,3.644,174.34718,2.241414927,2,0.561578368,1.679836559,1.749040269
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,47.87,55.83,3.277,156.86999,2.195539869,2,0.515476441,1.680063427,1.746867628
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,42.48,50.7,3.446,146.38608,2.165499781,2,0.537315273,1.628184508,1.705007959
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,41.55,50.415,3.116,129.4698,2.112168477,2,0.493597449,1.618571028,1.702559772
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,44.285,51.715,3.497,154.864645,2.189952281,2,0.543695632,1.646256649,1.713616529
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,37.755,43.95,2.948,111.30174,2.046501954,2,0.469527479,1.576974475,1.642958879
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,39.42,47.49,3.115,122.7933,2.089174671,2,0.493458051,1.59571662,1.67660217
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,39.83,48.525,3.117,124.15011,2.093947109,2,0.493736802,1.600210306,1.685965544
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.695,44.645,2.936,119.48052,2.077297104,2,0.467756051,1.609541053,1.649772827
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,40.195,45.22,2.904,116.72628,2.067168645,2,0.462996612,1.604172033,1.655330558
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,42.435,49.055,3.099,131.506065,2.118945783,2,0.491221576,1.627724207,1.69068328
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,43.72,52.175,3.009,131.55348,2.119102341,2,0.478422188,1.640680153,1.717462458
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,44.91,50.225,3.395,152.46945,2.183182834,2,0.530839779,1.652343055,1.700919945
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,46.055,52.335,3.935,181.226425,2.258221523,2,0.594944737,1.663276787,1.718792229
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,43.795,48.52,3.17,138.83015,2.142483793,2,0.501059262,1.641424531,1.685920792
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,45.545,51.545,3.411,155.353995,2.191322426,2,0.532881719,1.658440706,1.712186544
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,44.83,51.12,3.571,160.08793,2.204358589,2,0.55278985,1.651568739,1.708590845
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,46.47,53.28,3.665,170.31255,2.231246651,2,0.564073979,1.667172672,1.726564216
alp,27/04/2016,acer_freemanii_autumnblaze,1158,1158-acer_freemanii_autumnblaze,100,39.94,45.925,3.07,122.6158,2.088546436,2,0.487138375,1.601408061,1.662049165
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.885,17.6,1.065,11.592525,1.064178041,1.397940009,0.027349608,1.036828433,1.245512668
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.82,18.155,1.37,16.1934,1.209338044,1.397940009,0.136720567,1.072617477,1.258996253
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.055,21.82,0.98,10.8339,1.034784823,1.397940009,-0.008773924,1.043558747,1.338854746
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.14,17.395,1.165,12.9781,1.113211116,1.397940009,0.066325925,1.046885191,1.240424433
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,13.57,21.23,0.905,12.28085,1.089228427,1.397940009,-0.043351421,1.132579848,1.326949994
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.825,16.9,1.115,12.069875,1.081702772,1.397940009,0.047274867,1.034427905,1.227886705
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.96,21.14,1.135,14.7096,1.167600863,1.397940009,0.054995862,1.112605002,1.325104983
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.44,19.175,1.26,14.4144,1.15879657,1.397940009,0.100370545,1.058426024,1.282735373
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.93,21.445,1.05,11.4765,1.059809461,1.397940009,0.021189299,1.038620162,1.331326051
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,13.88,19.835,1.34,18.5992,1.269494264,1.397940009,0.127104798,1.142389466,1.297432205
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.495,15.44,1.045,10.967275,1.040098733,1.397940009,0.01911629,1.020982443,1.188647296
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.535,24.11,1.23,15.41805,1.18802945,1.397940009,0.089905111,1.098124338,1.38219721
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.775,22.585,1.265,14.895375,1.173051441,1.397940009,0.102090526,1.070960916,1.353820095
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,9.77,20.805,1.025,10.01425,1.000618429,1.397940009,0.010723865,0.989894564,1.31816772
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.225,18.505,0.99,10.12275,1.005298511,1.397940009,-0.004364805,1.009663317,1.267289089
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,15.48,16.94,1.145,17.7246,1.248576443,1.397940009,0.058805487,1.189770956,1.228913406
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.655,26.47,0.905,9.642775,0.984202033,1.397940009,-0.043351421,1.027553454,1.422753941
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,13.385,17.75,1.12,14.9912,1.175836398,1.397940009,0.049218023,1.126618376,1.249198357
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.685,23.485,1.035,11.058975,1.043714876,1.397940009,0.01494035,1.028774527,1.370790565
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.445,26.605,1.185,14.747325,1.168713251,1.397940009,0.07371835,1.094994901,1.424963263
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,15.01,21.105,1.405,21.08905,1.324057016,1.397940009,0.147676324,1.176380692,1.324385356
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.585,19.58,1.055,13.277175,1.12310568,1.397940009,0.02325246,1.09985322,1.291812687
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.225,20.775,1.07,10.94075,1.039047094,1.397940009,0.029383778,1.009663317,1.317541032
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.67,21.52,1.035,11.04345,1.043104769,1.397940009,0.01494035,1.028164419,1.332842267
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,10.43,14.76,1.185,12.35955,1.092002659,1.397940009,0.07371835,1.018284308,1.169086357
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,11.995,23.56,1.105,13.254475,1.12236253,1.397940009,0.043362278,1.079000252,1.372175286
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,6.96,14.835,0.875,6.09,0.784617293,1.397940009,-0.057991947,0.84260924,1.171287551
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.425,19.585,1.18,14.6615,1.166178405,1.397940009,0.071882007,1.094296397,1.291923576
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,14.205,19.745,1.23,17.47215,1.242346349,1.397940009,0.089905111,1.152441238,1.295457138
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,19.36,24.42,1.245,24.1032,1.382074704,1.397940009,0.095169351,1.286905353,1.38774566
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.475,19.71,1.31,16.34225,1.21331185,1.397940009,0.117271296,1.096040554,1.294686624
alp,29/04/2016,angophora_costata,35683,35683-angophora_costata,25,12.335,19.795,1.28,15.7888,1.198349123,1.397940009,0.10720997,1.091139154,1.296555506
