batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
C51,agonis_flexuosa,35,1,145.7,40,10,26,3.7,3.4,2.6,0.05,0.04,0.02
C51,agonis_flexuosa,35,2,100.4,30,10,26,27.3,21.3,12.4,0.36,0.33,0.15
C51,agonis_flexuosa,35,3,109.7,33,12,43,3.1,4.4,3.2,0.03,0.06,0.06
C51,agonis_flexuosa,35,4,140.3,31,11,41,9.3,12.9,15.8,0.16,0.13,0.29
C51,agonis_flexuosa,35,5,104,31,6,23,4.1,5.1,4.3,0.06,0.07,0.05
C51,agonis_flexuosa,35,6,153.4,40,15,22,16.6,7.7,5.9,0.15,0.12,0.09
C51,agonis_flexuosa,35,7,166.3,38,11,29,9,11.5,4.3,0.12,0.19,0.06
C51,agonis_flexuosa,35,8,137.6,32,7,55,6.2,6.7,3.1,0.1,0.11,0.02
C51,agonis_flexuosa,35,9,145.6,50,5,26,6.7,7.7,8.5,0.1,0.12,0.12
C51,agonis_flexuosa,35,10,143.1,40,9,31,6.4,11.5,13.2,0.1,0.2,0.15
H-block,agonis_flexuosa,100,1,178.5,55,5,106,7.3,7.1,7.3,0.12,0.13,0.12
H-block,agonis_flexuosa,100,2,173.9,62,6,62,5.1,11,3.5,0.08,0.25,0.4
H-block,agonis_flexuosa,100,3,178.5,79,9,82,7.4,9.3,10.2,0.11,0.13,0.17
H-block,agonis_flexuosa,100,4,159.4,63,8,80,6.3,5.5,8.8,0.1,0.09,0.12
H-block,agonis_flexuosa,100,5,132.5,44,7,99,5.8,3.9,10.6,0.1,0.08,0.21
H-block,agonis_flexuosa,100,6,182.5,42,7,57,9.5,7.4,8.4,0.15,0.13,0.14
H-block,agonis_flexuosa,100,7,197.6,57,6,88,6.4,3.6,10.5,0.09,0.05,0.14
H-block,agonis_flexuosa,100,8,150.3,52,8,71,7.8,7.9,5.5,0.13,0.11,0.06
H-block,agonis_flexuosa,100,9,184.4,52,9,63,12.7,13.1,13.8,0.18,0.17,0.18
H-block,agonis_flexuosa,100,10,180.2,49,9,86,4.4,4.4,9.2,0.07,0.08,0.15
M29,agonis_flexuosa,200,1,222.1,122,3,131,5.9,2.9,5.1,0.11,0.04,0.1
M29,agonis_flexuosa,200,2,249.6,121,2,94,4.7,4,3.5,0.11,0.08,0.07
M29,agonis_flexuosa,200,3,214.7,97,5,122,3,3.7,3.1,0.05,0.07,0.05
M29,agonis_flexuosa,200,4,218.8,65,7,113,4.3,5.2,4.2,0.05,0.11,0.09
M29,agonis_flexuosa,200,5,267.7,111,6,123,5.5,2.5,2.6,0.09,0.05,0.06
M29,agonis_flexuosa,200,6,243,81,7,118,7.1,6.2,8.5,0.11,0.1,0.15
M29,agonis_flexuosa,200,7,286.5,113,4,123,6.5,6.6,7.4,0.12,0.12,0.14
M29,agonis_flexuosa,200,8,263.7,101,4,150,6.9,6.4,8,0.14,0.12,0.14
M29,agonis_flexuosa,200,9,304.3,138,6,109,4.4,6.1,4.2,0.08,0.09,0.08
M29,agonis_flexuosa,200,10,230.7,112,4,141,6.9,6.1,5.8,0.08,0.08,0.11
J-Block,agonis_flexuosa,500,1,360.9,123,6,180,7.7,6.2,5.7,0.13,0.09,0.1
J-Block,agonis_flexuosa,500,2,380.8,108,4,149,6.4,4.8,6.5,0.11,0.07,0.12
J-Block,agonis_flexuosa,500,3,391.5,119,2,287,6.4,7,6.4,0.11,0.14,0.13
J-Block,agonis_flexuosa,500,4,449,98,3,178,6.9,7,5.9,0.12,0.11,0.1
J-Block,agonis_flexuosa,500,5,457.3,101,5,245,9.2,5.7,9.7,0.14,0.16,0.24
J-Block,agonis_flexuosa,500,6,435.9,112,2,282,3.5,3.3,3.5,0.04,0.08,0.05
J-Block,agonis_flexuosa,500,7,433,86,4,158,8.2,7.1,6.9,0.12,0.09,0.11
J-Block,agonis_flexuosa,500,8,394.6,78,2,239,3.7,6.6,7,0.09,0.14,0.15
J-Block,agonis_flexuosa,500,9,413.5,138,5,233,6.3,6.2,5.3,0.12,0.11,0.1
J-Block,agonis_flexuosa,500,10,440,122,3,230,6.9,4.6,6.9,0.15,0.18,0.13
H10,angophora_costata,100,1,269.6,68,3,98,11.1,11.3,15.6,0.22,0.2,0.27
H10,angophora_costata,100,2,334,23,3,105,18.7,14.8,26,0.29,0.31,0.43
H10,angophora_costata,100,3,327.7,71,8,72,8.5,6.8,8.6,0.14,0.1,0.14
H10,angophora_costata,100,4,354.2,58,8,87,10.1,11.1,12.7,0.17,0.17,0.19
H10,angophora_costata,100,5,299.5,62,3,108,9.6,9.1,13.1,0.15,0.15,0.22
H10,angophora_costata,100,6,294.8,82,7,119,7,7.3,9.5,0.11,0.12,0.18
H10,angophora_costata,100,7,280.2,72,8,95,12.4,16,17.8,0.26,0.31,0.32
H10,angophora_costata,100,8,262.8,98,9,67,12.3,12.1,7.3,0.2,0.22,0.11
H10,angophora_costata,100,9,272.4,52,5,96,17,12.6,8.5,0.32,0.22,0.16
H10,angophora_costata,100,10,289.3,67,7,47,15.1,10.5,13.3,0.25,0.13,0.2
L21,brachychiton_acerifolius,100,1,319.5,99,1,48,178.7,157.2,264.7,2.32,2.14,2.19
L21,brachychiton_acerifolius,100,2,311.2,114,3,58,244.7,323.1,173.2,2.8,3.84,1.92
J19,brachychiton_acerifolius,500,1,388,127,4,145,,,,,,
J19,brachychiton_acerifolius,500,2,299.5,150,8,99,,,,,,
J19,brachychiton_acerifolius,500,3,420.3,173,6,112,,,,,,
J19,brachychiton_acerifolius,500,4,476.5,161,4,117,,,,,,
J19,brachychiton_acerifolius,500,5,398.2,162,3,133,,,,,,
J19,brachychiton_acerifolius,500,6,435.5,135,4,170,,,,,,
J19,brachychiton_acerifolius,500,7,425,159,6,127,,,,,,
C59,callistemon_kingsparkspecial,35,1,121.5,58,6,50,4.4,5,4.2,0.07,0.12,0.09
C59,callistemon_kingsparkspecial,35,2,166.8,70,7,66,8.1,5.7,5.3,0.16,0.07,0.1
C59,callistemon_kingsparkspecial,35,3,152.2,69,7,43,7.2,6,5.3,0.16,0.12,0.11
C59,callistemon_kingsparkspecial,35,4,136.6,47,6,53,5.7,6.8,3.7,0.1,0.12,0.04
C59,callistemon_kingsparkspecial,35,5,146.1,61,7,62,5,4.6,6,0.08,0.08,0.13
C59,callistemon_kingsparkspecial,35,6,138.1,73,12,53,6.4,6.3,6,0.14,0.15,0.13
C59,callistemon_kingsparkspecial,35,7,157.5,66,7,53,4.2,4.5,5.8,0.08,0.09,0.11
C59,callistemon_kingsparkspecial,35,8,123.6,53,6,53,6.3,5.4,5.8,0.06,0.09,0.08
C59,callistemon_kingsparkspecial,35,9,129.2,63,8,47,6.2,7,4.9,0.12,0.1,0.11
C59,callistemon_kingsparkspecial,35,10,164.4,66,7,47,6,4.3,7.9,0.13,0.11,0.17
H41,callistemon_kingsparkspecial,100,1,187,50,9,65,3.6,4.1,5.2,0.12,0.12,0.19
H41,callistemon_kingsparkspecial,100,2,225.5,54,11,62,4.3,4.2,3.9,0.09,0.12,0.11
H41,callistemon_kingsparkspecial,100,3,236.1,36,10,78,5.3,5,4.2,0.16,0.15,0.12
H41,callistemon_kingsparkspecial,100,4,262,33,5,81,4.9,5,5.4,0.12,0.13,0.16
H41,callistemon_kingsparkspecial,100,5,193.7,51,11,72,4.9,3.7,4.2,0.18,0.12,0.14
H41,callistemon_kingsparkspecial,100,6,197.6,44,12,94,4.8,5.1,4.8,0.11,0.16,0.11
H41,callistemon_kingsparkspecial,100,7,168.3,35,9,82,3.7,3.8,5,0.1,0.11,0.12
H41,callistemon_kingsparkspecial,100,8,184.2,29,3,90,5.6,5.4,5.9,0.15,0.14,0.14
H41,callistemon_kingsparkspecial,100,9,163,33,7,62,5.1,4.8,4.3,0.14,0.14,0.11
H41,callistemon_kingsparkspecial,100,10,214.2,45,7,60,3,4.1,4.1,0.11,0.1,0.14
H44,corymbia_maculata,100,1,279.7,77,5,82,47.4,50.6,50.1,0.8,0.87,1.03
H44,corymbia_maculata,100,2,290.3,55,3,103,28.3,35.9,28.4,0.56,0.71,0.53
H44,corymbia_maculata,100,3,363.7,72,4,67,29.6,44.8,39.8,0.46,0.7,0.63
H44,corymbia_maculata,100,4,359.6,104,6,117,32.1,39.5,28.5,0.51,0.77,0.53
H44,corymbia_maculata,100,5,254.8,86,1,89,34.4,34.1,42.6,0.68,0.57,0.75
H44,corymbia_maculata,100,6,351.8,84,11,97,24.9,29.2,22.8,0.5,0.51,0.43
H44,corymbia_maculata,100,7,382.8,64,3,88,39.2,60.2,33,0.7,1.02,0.5
H44,corymbia_maculata,100,8,367.3,59,4,113,27.4,34,36.1,0.42,0.53,0.61
H44,corymbia_maculata,100,9,291,115,4,117,32.7,41,29.1,0.68,0.79,0.57
H44,corymbia_maculata,100,10,370.7,92,6,95,31.3,44.1,37.7,0.56,0.64,0.59
M33,corymbia_maculata,200,1,458.7,103,4,123,30.9,31.9,23.7,0.71,0.72,0.58
M33,corymbia_maculata,200,2,489.1,97,3,111,41.1,43.6,43.5,0.84,0.68,0.73
M33,corymbia_maculata,200,3,465.2,75,4,115,39.4,55,44.5,0.64,0.94,0.79
M33,corymbia_maculata,200,4,496.4,105,3,167,30,42.6,25.4,0.67,0.95,0.62
M33,corymbia_maculata,200,5,440.9,62,4,145,34.1,25.8,58.9,0.67,0.49,1.06
