"species","nursery","date","batch_id","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region","genus_species","variety","origin","leaf_type"
"acer_freemanii","freshford","2016-11-01","AF_200",200,46.555,56.6,4.062,189.10641,2.27670625005312,2.30102999566398,0.608739919068788,1.66796633098433,1.75281643118827,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,25.045,28.98,2.354,58.95593,1.77052749453295,1.60205999132796,0.371806458507416,1.39872103602553,1.46209838113516,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,18.045,20.495,2.425,43.759125,1.64106862933381,1.30102999566398,0.384711742938282,1.25635688639553,1.31164792265252,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,44.18,55.72,3.333,147.25194,2.16806102519595,2.30102999566398,0.52283531366053,1.64522571153542,1.74601110775193,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,23.86,27.745,2.39,57.0254,1.75606834028246,1.60205999132796,0.378397900948138,1.37767043933432,1.44318472915018,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,43.76,58.9,3.153,137.97528,2.13980128407328,2.30102999566398,0.498723970747905,1.64107731332537,1.7701152947871,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,43.86,52.305,3.55,155.703,2.1922969803966,2.30102999566398,0.550228353055094,1.6420686273415,1.71854320643166,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,36.48,43.28,3.425,124.944,2.09671540548482,2,0.534660575828444,1.56205482965638,1.63628725209851,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,24.635,26.925,2.585,63.681475,1.80401311404089,1.60205999132796,0.412460547429961,1.39155256661093,1.43015571197002,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,24.81,30.115,2.683,66.56523,1.82324743694415,1.60205999132796,0.428620672671939,1.39462676427221,1.4787828675066,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,24.2,28.38,2.73,66.066,1.81997801302119,1.60205999132796,0.436162647040756,1.38381536598043,1.45301239112146,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,21.045,22.925,2.511,52.843995,1.72299564279696,1.30102999566398,0.399846712712922,1.32314893008404,1.36030934434206,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,23.035,26.405,2.565,59.084775,1.77147558603653,1.60205999132796,0.409087369447835,1.3623882165887,1.42168617182451,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,23.19,28.695,2.818,65.34942,1.81524173741132,1.60205999132796,0.449940988773338,1.36530074863799,1.45780622908298,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,15.705,118.975,2.195,34.472475,1.53747246531266,1.30102999566398,0.34143452457814,1.19603794073452,2.0754557134708,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,25.33,28.78,2.9,73.457,1.8660331876895,1.60205999132796,0.462397997898956,1.40363518979055,1.45909078960059,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,25.375,29.235,3.093,78.484875,1.89478597092445,1.60205999132796,0.490379920003179,1.40440605092127,1.4659030981733,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,32.94,38.68,3.223,106.16562,2.02598390034607,2,0.508260305512335,1.51772359483374,1.58748646541096,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","2016-11-04","AF_35",35,24.29,33.15,3.075,74.69175,1.87327263491657,1.54406804435028,0.487845120111436,1.38542751480513,1.52048353274079,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,22.445,26.225,2.45,54.99025,1.7402856941022,1.60205999132796,0.389166084364532,1.35111960973767,1.4187154968656,"South Australia","acer_freemanii",NA,"non-native","deciduous"
