"batch_id","species","volume","treenumb","canopy_top","canopy_bottom","crownlength","branchper30","maxbranchradius","nursery","climate_region"
"AF_18","agonis_flexuosa",18,1,232.5,27,205.5,8,57,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,2,198.3,29,169.3,9,54,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,3,176.5,45,131.5,9,43,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,4,140.3,28,112.3,7,60,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,5,167,37,130,10,36,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,6,203,39,164,7,50,"adelaide advanced","South Australia"
"AF_18","agonis_flexuosa",18,7,140.3,29,111.3,10,42,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,1,153.4,25,128.4,9,53,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,2,103.1,37,66.1,10,54,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,3,149.2,26,123.2,5,58,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,4,137.4,31,106.4,13,57,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,5,169,41,128,13,62,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,6,153.2,29,124.2,5,54,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,7,158.4,25,133.4,11,50,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,8,133.2,25,108.2,10,40,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,9,141,39,102,6,49,"adelaide advanced","South Australia"
"AC_27","angophora_costata",27,10,175.6,29,146.6,10,43,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,1,143,6,137,5,52,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,2,92,2,90,2,50,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,3,125,2,123,7,48,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,4,111,2,109,8,41,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,5,83.5,2,81.5,6,43,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,6,102.5,1,101.5,4,39,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,7,104.3,2,102.3,4,44,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,8,125,2,123,5,51,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,9,114.2,7,107.2,9,38,"adelaide advanced","South Australia"
"ck_18","callistemon_kingsparkspecial",18,10,107.7,10,97.7,9,32,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,1,137.1,2,135.1,18,33,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,2,142.6,2,140.6,17,54,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,3,145.8,2,143.8,22,47,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,4,135.6,9,126.6,20,45,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,5,154.1,12,142.1,11,53,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,6,176.3,17,159.3,15,50,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,7,160.5,21,139.5,12,70,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,8,162.3,25,137.3,7,41,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,9,155,24,131,11,54,"adelaide advanced","South Australia"
"ck_27","callistemon_kingsparkspecial",27,10,155.9,28,127.9,13,34,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,1,170.3,18,152.3,5,59,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,2,187,40,147,4,60,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,3,180.6,36,144.6,6,66,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,4,167,28,139,6,76,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,5,203,19,184,6,63,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,6,205.3,27,178.3,7,67,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,7,196.7,28,168.7,9,58,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,8,224.2,32,192.2,4,67,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,9,176.2,27,149.2,10,60,"adelaide advanced","South Australia"
"CM_27","corymbia_maculata",27,10,164.7,20,144.7,6,61,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,1,172.1,33,139.1,5,51,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,2,157.3,37,120.3,7,52,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,3,177.5,40,137.5,3,66,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,4,165.3,32,133.3,3,59,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,5,183.4,67,116.4,4,51,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,6,196,47,149,4,73,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,7,202.8,40,162.8,2,43,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,8,163.1,79,84.1,4,38,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,9,189.8,39,150.8,4,63,"adelaide advanced","South Australia"
"ELE_18","eucalyptus_leucoxylon_eukydwarf",18,10,173,62,111,4,51,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,1,175.7,33,142.7,8,60,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,2,153.7,45,108.7,8,62,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,3,169.1,60,109.1,7,63,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,4,154.5,37,117.5,8,80,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,5,91.6,18,73.6,7,48,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,6,100.4,10,90.4,5,33,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,7,108.1,34,74.1,5,55,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,8,182,35,147,3,60,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,9,177.5,27,150.5,6,68,"adelaide advanced","South Australia"
"ELM_18","eucalyptus_leucoxylon_megalocarpa",18,10,166.4,45,121.4,7,59,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,1,135.1,25,110.1,7,61,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,2,108,27,81,3,69,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,3,107.2,24,83.2,7,72,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,4,118,47,71,6,44,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,5,144.8,32,112.8,9,68,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,6,116.1,24,92.1,7,50,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,7,120.3,19,101.3,10,53,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,8,139,48,91,7,42,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,9,116.4,33,83.4,10,53,"adelaide advanced","South Australia"
"ELR_18","eucalyptus_leucoxylon_rosea",18,10,105.7,25,80.7,7,42,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,1,187.2,60,127.2,9,45,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,2,192.8,55,137.8,6,60,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,3,205,70,135,8,52,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,4,213,87,126,5,54,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,5,208,69,139,6,37,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,6,213.5,67,146.5,5,51,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,7,222.7,55,167.7,8,42,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,8,216.5,51,165.5,8,52,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,9,217.8,64,153.8,9,53,"adelaide advanced","South Australia"
"GB_27","ginkgo_biloba",27,10,199.4,24,175.4,7,61,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,1,124.1,30,94.1,6,25,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,2,120.2,37,83.2,7,24,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,3,118.6,29,89.6,5,19,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,4,105.6,37,68.6,8,31,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,5,130.1,39,91.1,4,29,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,6,116,39,77,6,28,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,7,117.6,35,82.6,7,21,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,8,119.4,44,75.4,6,20,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,9,107,32,75,7,24,"adelaide advanced","South Australia"
"MGL_18","magnolia_grandiflora",18,10,103.6,26,77.6,5,23,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,1,245.6,42,203.6,11,50,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,2,245.3,41,204.3,10,45,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,3,229,37,192,10,40,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,4,240.5,50,190.5,10,51,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,5,252.2,40,212.2,12,49,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,6,241.7,31,210.7,12,41,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,7,242,28,214,11,54,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,8,225.5,39,186.5,11,58,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,9,233.9,45,188.9,8,64,"adelaide advanced","South Australia"
"UMT_27","ulmus_parvifolia_todd",27,10,233.3,34,199.3,9,45,"adelaide advanced","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,1,176.5,51,125.5,1,23,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,2,186.1,41,145.1,2,36,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,3,179.2,80,99.2,5,44,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,4,178.3,6,172.3,3,35,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,5,137.5,38,99.5,4,41,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,6,137.5,12,125.5,1,47,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,7,164.5,32,132.5,2,34,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,8,143.4,48,95.4,1,38,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,9,170,40,130,3,13,"adelaide tree farm","South Australia"
"L15_14","lagerstroemia_indica_sioux",14,10,162.7,33,129.7,5,35,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,1,337.8,125,212.8,9,105,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,2,332.2,138,194.2,6,49,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,3,351,125,226,9,51,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,4,321.1,109,212.1,10,81,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,5,370.4,109,261.4,6,35,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,6,307.5,106,201.5,9,54,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,7,318.5,95,223.5,5,86,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,8,313.6,103,210.6,9,67,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,9,372,119,253,8,97,"adelaide tree farm","South Australia"
"LF_45","liquidamber_formosana",45,10,302.7,111,191.7,6,55,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,1,218.6,19,199.6,3,45,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,2,228.2,105,123.2,4,24,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,3,175.7,12,163.7,3,24,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,4,244.2,98,146.2,2,24,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,5,201.5,47,154.5,2,29,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,6,216.1,50,166.1,4,24,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,7,219,114,105,4,22,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,8,230.6,89,141.6,4,37,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,9,221.1,30,191.1,1,48,"adelaide tree farm","South Australia"
"LIT_45","lagerstroemia_indica_tuscarora",45,10,221.3,46,175.3,3,30,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,1,143.4,43,100.4,9,24,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,2,149.3,14,135.3,7,36,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,3,145,25,120,4,34,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,4,132.4,57,75.4,7,31,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,5,128.9,29,99.9,5,38,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,6,144.7,34,110.7,2,32,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,7,140.3,47,93.3,3,22,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,8,155.2,45,110.2,4,24,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,9,129.2,28,101.2,2,38,"adelaide tree farm","South Australia"
"LIZ_14","lagerstroemia_indica_zuni",14,10,129.1,48,81.1,5,24,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,1,239.1,58,181.1,2,66,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,2,203,49,154,2,49,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,3,254,87,167,2,38,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,4,314,80,234,3,79,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,5,250.4,93,157.4,1,60,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,6,251.4,42,209.4,1,89,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,7,290.2,130,160.2,3,31,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,8,257.5,6,251.5,1,79,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,9,208.6,4,204.6,3,99,"adelaide tree farm","South Australia"
"LIN_45","lagerstroemia_indica_natchez",45,10,230.5,41,189.5,1,73,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,1,234.5,97,137.5,4,36,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,2,247.5,119,128.5,2,32,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,3,249,105,144,1,23,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,4,229,120,109,2,39,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,5,237.4,117,120.4,4,29,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,6,226.9,115,111.9,4,36,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,7,195.5,117,78.5,4,23,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,8,213.3,103,110.3,5,33,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,9,216.8,99,117.8,4,46,"adelaide tree farm","South Australia"
"ZSG_25","zelkova_serrata_greenvase",25,10,219.7,93,126.7,1,16,"adelaide tree farm","South Australia"
"1158","acer_freemanii_autumnblaze",100,1,298.6,76,222.6,6,62,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,2,289.6,85,204.6,6,93,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,3,303.4,61,242.4,4,52,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,4,280.9,60,220.9,10,50,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,5,298.6,59,239.6,9,92,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,6,332.7,57,275.7,2,100,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,7,348.6,84,264.6,5,98,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,8,296.9,51,245.9,7,58,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,9,317.3,83,234.3,6,85,"alpine","New South Wales"
"1158","acer_freemanii_autumnblaze",100,10,311.6,65,246.6,8,92,"alpine","New South Wales"
"35683","angophora_costata",25,1,130,24,106,10,41,"alpine","New South Wales"
"35683","angophora_costata",25,2,128,21,107,10,42,"alpine","New South Wales"
"35683","angophora_costata",25,3,122,20,102,10,42,"alpine","New South Wales"
"35683","angophora_costata",25,4,124,23,101,10,39,"alpine","New South Wales"
"35683","angophora_costata",25,5,116,26,90,5,37,"alpine","New South Wales"
"35683","angophora_costata",25,6,144,20,124,10,43,"alpine","New South Wales"
"35683","angophora_costata",25,7,127,28,99,11,43,"alpine","New South Wales"
"35683","angophora_costata",25,8,117,17,100,10,33,"alpine","New South Wales"
"35683","angophora_costata",25,9,104,24,80,8,34,"alpine","New South Wales"
"35683","angophora_costata",25,10,109,17,92,8,36,"alpine","New South Wales"
"35742","angophora_costata",100,1,320.1,50,270.1,8,77,"alpine","New South Wales"
"35742","angophora_costata",100,2,318.9,58,260.9,3,54,"alpine","New South Wales"
"35742","angophora_costata",100,3,321.9,53,268.9,5,66,"alpine","New South Wales"
"35742","angophora_costata",100,4,287,40,247,6,63,"alpine","New South Wales"
"35742","angophora_costata",100,5,299.7,38,261.7,6,68,"alpine","New South Wales"
"35742","angophora_costata",100,6,281.7,43,238.7,5,65,"alpine","New South Wales"
"35742","angophora_costata",100,7,303.2,45,258.2,6,52,"alpine","New South Wales"
"35742","angophora_costata",100,8,330,48,282,3,64,"alpine","New South Wales"
"35742","angophora_costata",100,9,310.6,38,272.6,5,55,"alpine","New South Wales"
"35742","angophora_costata",100,10,317,44,273,5,88,"alpine","New South Wales"
"34019","angophora_costata",600,1,463.1,116,347.1,8,163,"alpine","New South Wales"
"34019","angophora_costata",600,2,464,121,343,10,93,"alpine","New South Wales"
"34019","angophora_costata",600,3,492.5,110,382.5,7,26,"alpine","New South Wales"
"34019","angophora_costata",600,4,481.2,123,358.2,7,119,"alpine","New South Wales"
"34019","angophora_costata",600,5,521.2,117,404.2,9,109,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,1,240,26,214,11,65,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,2,270,35,235,11,62,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,3,294,32,262,8,62,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,4,280,30,250,7,64,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,5,280,23,257,8,79,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,6,280,30,250,12,69,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,7,290,27,263,12,70,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,8,280,25,255,11,70,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,9,260,22,238,7,65,"alpine","New South Wales"
"33684","araucaria_heterophylla",45,10,270,25,245,14,80,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,1,321.1,79,242.1,10,110,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,2,329.9,69,260.9,17,98,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,3,355.1,70,285.1,16,59,"alpine","New South Wales"
"26779","araucaria_heterophylla",100,4,351.4,70,281.4,11,90,"alpine","New South Wales"
